Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-08-27 00:00:00-04:00,147.51636918928202,147.51636918928202,146.39981840383402,147.0614776611328,2073700,0.55,0.0
2014-08-28 00:00:00-04:00,146.4329336374355,147.01188085517936,145.4735281794012,146.92916870117188,1961800,0.0,0.0
2014-08-29 00:00:00-04:00,147.48332288270717,148.45926071162987,147.09459846065062,148.13670349121094,2560600,0.0,0.0
2014-09-02 00:00:00-04:00,148.26078751496007,149.05478146664555,147.53297339769628,148.68260192871094,1986300,0.0,0.0
2014-09-03 00:00:00-04:00,149.26979092641122,150.5848435872349,148.4013637338231,148.54197692871094,2397700,0.0,0.0
2014-09-04 00:00:00-04:00,148.8148966069867,150.1961164463516,148.50061817141386,148.93896484375,1678500,0.0,0.0
2014-09-05 00:00:00-04:00,148.52543031057843,148.79836528920032,147.11941195836857,148.66603088378906,2562800,0.0,0.0
2014-09-08 00:00:00-04:00,148.52541374951943,149.63368587602983,148.22766768059552,148.96376037597656,1746400,0.0,0.0
2014-09-09 00:00:00-04:00,147.16075879476912,147.74798484469352,146.07729764331935,146.722412109375,2598500,0.0,0.0
2014-09-10 00:00:00-04:00,147.49155985614382,149.0216334983053,147.3178694087121,148.76524353027344,2457800,0.0,0.0
2014-09-11 00:00:00-04:00,147.85552485816655,150.06380349107457,147.63221209615634,149.69989013671875,1905300,0.0,0.0
2014-09-12 00:00:00-04:00,149.39384353449702,151.74272222060807,149.39384353449702,151.49459838867188,3358600,0.0,0.0
2014-09-15 00:00:00-04:00,151.2795760190922,152.51190386566108,150.9487400112087,152.16453552246094,2308000,0.0,0.0
2014-09-16 00:00:00-04:00,152.09838290444569,152.64425290471527,151.18861219076757,152.21417236328125,2137600,0.0,0.0
2014-09-17 00:00:00-04:00,152.03219718895906,153.64498311399782,151.73445112432867,152.85926818847656,2820300,0.0,0.0
2014-09-18 00:00:00-04:00,153.69461214972904,155.8449892714835,153.42167719340932,155.39837646484375,3566600,0.0,0.0
2014-09-19 00:00:00-04:00,155.70437451131352,155.96904327637455,153.7359542066028,154.0006103515625,5442900,0.0,0.0
2014-09-22 00:00:00-04:00,153.83525777669988,154.62097296712955,153.09089867420994,153.24803161621094,1826100,0.0,0.0
2014-09-23 00:00:00-04:00,152.65254313043295,154.5465306961685,152.65254313043295,153.08261108398438,1977600,0.0,0.0
2014-09-24 00:00:00-04:00,153.22316556874298,155.5885890818611,152.5697850458646,155.3321990966797,2834200,0.0,0.0
2014-09-25 00:00:00-04:00,155.04274647701945,155.32394760862482,151.7344622366658,152.25550842285156,3074600,0.0,0.0
2014-09-26 00:00:00-04:00,152.80134864553514,153.50436395797968,151.53593117921534,153.10736083984375,1932500,0.0,0.0
2014-09-29 00:00:00-04:00,151.44501976484386,152.6442705744858,150.69238188523676,152.04051208496094,1745400,0.0,0.0
2014-09-30 00:00:00-04:00,152.52017610971845,152.99987883549088,151.0893340997048,151.825439453125,2037700,0.0,0.0
2014-10-01 00:00:00-04:00,151.51113244217686,152.05700230914277,149.14570897209268,149.45172119140625,4196300,0.0,0.0
2014-10-02 00:00:00-04:00,149.36905478795478,151.7096550375452,149.36077599958531,151.25477600097656,2782600,0.0,0.0
2014-10-03 00:00:00-04:00,152.68558511996653,155.9359682478305,152.6525078312288,155.54725646972656,3271400,0.0,0.0
2014-10-06 00:00:00-04:00,156.37433298575837,156.72996748757944,154.78634542847857,155.0592803955078,1934800,0.0,0.0
2014-10-07 00:00:00-04:00,154.29838247021632,154.29838247021632,151.86679141584253,152.0156707763672,2927100,0.0,0.0
2014-10-08 00:00:00-04:00,152.20592177065018,154.66232440313192,150.6510237756501,154.3645782470703,3154500,0.0,0.0
2014-10-09 00:00:00-04:00,153.6863634210571,153.9758307444699,149.49310673466718,149.92318725585938,4892900,0.0,0.0
2014-10-10 00:00:00-04:00,150.17130463402611,151.3126541623707,148.92241920489732,149.1870880126953,4405600,0.0,0.0
2014-10-13 00:00:00-04:00,149.69987967603944,151.51116753222038,147.63220177996155,147.8555145263672,3436500,0.0,0.0
2014-10-14 00:00:00-04:00,148.44272188936685,150.3532541677161,147.02843733375158,147.797607421875,3557200,0.0,0.0
2014-10-15 00:00:00-04:00,145.96978455892483,147.17730131070982,141.85924013791663,146.590087890625,6330500,0.0,0.0
2014-10-16 00:00:00-04:00,142.272712764399,145.80429575103267,141.64413092276828,142.73587036132812,7797500,0.0,0.0
2014-10-17 00:00:00-04:00,145.39907416244202,146.838169525002,144.8201270269236,146.31712341308594,4951000,0.0,0.0
2014-10-20 00:00:00-04:00,145.746513207631,147.21869918992167,145.41568971816844,147.08636474609375,2307900,0.0,0.0
2014-10-21 00:00:00-04:00,148.22767109963658,149.17053156962677,147.51638950858415,149.0216522216797,2649500,0.0,0.0
2014-10-22 00:00:00-04:00,149.327728644336,149.53449647335887,146.2510223388672,146.2510223388672,3088300,0.0,0.0
2014-10-23 00:00:00-04:00,147.88031924516577,149.78258535116993,147.80588587295654,148.92242431640625,3397000,0.0,0.0
2014-10-24 00:00:00-04:00,149.0961281117553,151.75929837382702,148.88108152381966,151.6435089111328,2900900,0.0,0.0
2014-10-27 00:00:00-04:00,151.23823169997115,152.31342672401232,150.7833400413263,152.10665893554688,2383700,0.0,0.0
2014-10-28 00:00:00-04:00,152.31342261897348,154.0998992919922,151.5194287798194,154.0998992919922,3027700,0.0,0.0
2014-10-29 00:00:00-04:00,153.90969439237517,154.91872238276645,153.33074700938994,153.90142822265625,3379000,0.0,0.0
2014-10-30 00:00:00-04:00,153.40517150460101,154.74503550767648,153.14878143700614,154.63751220703125,2794800,0.0,0.0
2014-10-31 00:00:00-04:00,156.51493533898068,157.14350481500355,155.58860714998,157.13523864746094,3357000,0.0,0.0
2014-11-03 00:00:00-05:00,157.4329807397661,158.78109798093575,156.9367330575509,157.82997131347656,2298100,0.0,0.0
2014-11-04 00:00:00-05:00,157.53224825940558,157.94578384834296,156.16758586395414,157.36683654785156,2027300,0.0,0.0
2014-11-05 00:00:00-05:00,158.45032383945878,158.69016896765507,156.8209923413841,157.01121520996094,3141100,0.0,0.0
2014-11-06 00:00:00-05:00,157.45784663579656,158.33454024192454,156.96159878095457,157.9706268310547,1915400,0.0,0.0
2014-11-07 00:00:00-05:00,158.17740217905197,158.3676250637286,156.56461550438516,157.7307891845703,1981400,0.0,0.0
2014-11-10 00:00:00-05:00,157.56531908191025,158.6901363424238,157.56531908191025,158.6322479248047,1553900,0.0,0.0
2014-11-11 00:00:00-05:00,158.6405089983159,159.360056831971,157.58185897772535,158.6984100341797,1620100,0.0,0.0
2014-11-12 00:00:00-05:00,157.68939216374528,157.8796149990504,156.58938599419037,157.29238891601562,2322200,0.0,0.0
2014-11-13 00:00:00-05:00,157.8382761994668,158.12775618845396,156.48187983812977,157.342041015625,1749600,0.0,0.0
2014-11-14 00:00:00-05:00,157.44130531683277,157.8382960378243,156.8292679643857,157.12701416015625,1691600,0.0,0.0
2014-11-17 00:00:00-05:00,156.74654271191562,158.12775014868353,156.498418819419,157.08563232421875,1593400,0.0,0.0
2014-11-18 00:00:00-05:00,156.82923446157375,157.68939556342798,156.8044233355688,156.8457794189453,1810300,0.0,0.0
2014-11-19 00:00:00-05:00,156.90369815313665,157.13527710203365,155.6465462733341,156.47361755371094,2260100,0.0,0.0
2014-11-20 00:00:00-05:00,155.34052614473072,157.02774591920638,155.11721337660262,156.936767578125,2850000,0.0,0.0
2014-11-21 00:00:00-05:00,158.40062044618398,158.51640986602365,156.62241045995302,156.8043670654297,2367900,0.0,0.0
2014-11-24 00:00:00-05:00,157.2593196967817,157.87962310559197,156.87059521765215,157.20143127441406,2028800,0.0,0.0
2014-11-25 00:00:00-05:00,157.55703382424147,157.55703382424147,155.6547678997183,156.2006378173828,3677900,0.0,0.0
2014-11-26 00:00:00-05:00,157.07737410019425,157.07737410019425,155.2660859994904,155.9194793701172,2024000,0.0,0.0
2014-11-28 00:00:00-05:00,156.31772932358288,157.22212498838826,156.08541098594475,156.32603454589844,1195200,0.6,0.0
